vcs_id,lat,lon,inclusion_status,project_name,syear,country,iso3,continent,area_ha,proj_id,undisturbed,degraded,deforested,regrowth,water,other,vcs_methodology
1047,-22.272519799999987,47.2990445,Included,"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar",2007,Madagascar,MDG,Africa,144335.470531299,MDG_1047,122812.0657938738,5275.297757692235,5414.505016557821,113.54227080820118,3.7078016581935502,1495.3048134150235,VM0015
1052,0.8242733,16.1811976,<80% of plots matched,North Pikounda REDD+,2012,Congo,COG,Africa,92735.1766426489,COG_1052,92111.56942503148,4.65301033811083,0,0,0,0,VM0011
1067,-13.0333441,-69.9528355,Included,Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru,2010,Peru,PER,Americas,565849.015897625,PER_1067,532843.4866879641,9193.815498667507,1412.5830599085452,1462.2550053181465,6089.84403683673,6054.885122131557,VM0007
1094,-1.050581,-50.427069,Included,Ecomapua Amazon REDD Project,2002,Brazil,BRA,Americas,99149.0400777437,BRA_1094,96486.77513824785,1358.4116098565032,256.5724609577722,26.699473084333828,102.28293348391068,244.37803687598165,VM0015
1112,-8.0950211,-72.6422022,Included,The Russas Project,2011,Brazil,BRA,Americas,42788.439911871305,BRA_1112,41478.88540055677,367.14275723259306,356.38788055338273,161.77447114530733,37.880646678370965,111.5961313955271,VM0007
1113,-8.1163979,-72.6060056,Included,The Valparaiso Project,2011,Brazil,BRA,Americas,29195.032421186,BRA_1113,27314.563054657825,559.1383693025988,675.7845385856822,213.07308341270345,26.665984957801985,198.70703342395237,VM0007
1115,-0.8165374,-52.3724569,Included,JARI/AMAPÁ REDD+ PROJECT,2011,Brazil,BRA,Americas,78232.1668368713,BRA_1115,66353.05360811349,2094.104892224166,4965.874667878221,252.3491646683518,62.96730424771172,3978.235016623365,VM0015
1118,-11.0099452,-61.1514804,Included,Suruí Forest Carbon Project,2009,Brazil,BRA,Americas,33626.357870499996,BRA_1118,28487.47425725272,1111.5017705365112,1657.6762562824572,99.35570117314388,0,632.972168434578,VM0015
1122,-4.663520399999999,142.6792644,Included,April Salumei REDD Project,2009,Papua New Guinea,PNG,Oceania,653932.6303521141,PNG_1122,627878.9677748716,4415.446474807445,994.2945178310028,181.266194429788,9722.906895592703,6387.971374958592,VM0007
1133,-4.6002509,-73.409591,Included,Yacumama Forest Carbon Project,2010,Peru,PER,Americas,3019.8091086601003,PER_1133,2976.415632108053,16.169383558565034,1.7488312005256206,2.495197711181641,0.6175269965437347,2.1454879358628216,VM0007
1168,-12.91729,33.9389598,<80% undisturbed,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",2009,Malawi,MWI,Africa,218646.527638625,MWI_1168,2871.0716038401056,1971.6489560685177,834.1890544714555,152.27573182272525,498.5876742141333,211064.1097440035,VM0006
1201,7.606173999999998,-11.020161,<80% of plots matched,Gola REDD project,2012,Sierra Leone,SLE,Africa,70648.66037063701,SLE_1201,68669.37865514653,1037.8598492615708,25.070667223594523,20.48702742395738,3.6441580154000066,186.5517343001061,VM0007
1202,-15.4946336,29.2966488,<80% undisturbed,LOWER ZAMBEZI REDD+ PROJECT,2009,Zambia,ZMB,Africa,40334.4789969271,ZMB_1202,0,0,0,0,0,0,VM0009
1215,-15.1792765,49.5387225,<80% of plots matched,The Makira Forest Protected Area in Madagascar,2005,Madagascar,MDG,Africa,374708.456780864,MDG_1215,335712.20051201107,25965.93707273435,1682.957655736703,126.7515340289187,232.6447369702643,8820.454189090324,VM0007
1311,-17.762010499999988,48.8462834,<80% of plots matched,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar",2008,Madagascar,MDG,Africa,392642.631475912,MDG_1311,348941.75951289403,12328.610628682623,6664.669779295033,216.61095596852024,4.924821275347541,783.4627472809672,VM0015
